Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Country,Company Name
"Infrastructure, vessel & Asset efficiency",Drones,2014,Emerging,https://sea-machines.com,Developers of Unmanned Surface Vehicles for industrial purposes,Series A,"12,475,738",USA,Sea Machines
Fuel & Efficiency,New Vessel Design,2015,Existing,https://seabubbles.fr,Developer of electric marine transport vehicle,Series B,"14,609,590",France,SeaBubbles
Data & AI,Digital twin,2012,Emerging,https://seebo.com,Cloud based digital twin platform for IoT products lifecycle management,Series A,"22,000,000",Israel,Seebo
Data & AI,Digital twin,2013,Emerging,https://seeq.com,Industrial data analytics,Series B,"79,807,072",USA,Seeq
Data & AI,Digital twin,2016,Distant,https://sensehawk.com,Data capture through aerial survey and cloud-based data analysis solutions,Series A,"2,354,371",USA,SenseHawk
Data & AI,Port-Side Analytics,2015,Emerging,https://guangyingsc.com,Provider SaaS-based solutions to the logistics industry,Funded,,China,Shanghai Guangying
Data & AI,Fleet Utilization,2017,Existing,https://duckbillscm.com,Online trucking marketplace for containerized cargo,Series A,"4,359,419",China,Shanghai Platypus Supply Chain Management
Data & AI,Vessel Operations Optimization,2014,Existing,https://lugou56.com,ERP and warehouse management software,Funded,,China,Shanghai Ziteng Information Technology
Business Model Innovation,Freight Orchestration,2018,Distant,https://yungehuo.com,Online marketplace for containerized cargo shipping services,Series A,"1,462,517",China,Shenzhen Very Cattle Logistics Technology
Data & AI,Fleet Utilization,2011,Existing,https://shipogre.com,Online marketplace for FTL & LTL trucking services,Seed,"1,100,000",USA,Ship OGRE
Business Model Innovation,Freight Orchestration,2011,Emerging,https://shiplify.com,Online ocean freight forwarder,Seed,"1,409,460",USA,Shiplify
Business Model Innovation,Freight Orchestration,2016,Distant,https://shiplyst.com,Online marketplace to compare and book ocean containers,Seed,"40,684",India,Shiplyst
Business Model Innovation,Freight Orchestration,2017,Emerging,https://shipnext.com,Blockchain-based digital shipping marketplace,Seed,,Singapore,ShipNEXT
Business Model Innovation,Freight Orchestration,2014,Emerging,https://shippabo.com,Expedia for Ocean Container Shipping,Seed,"1,800,000",USA,Shippabo
Business Model Innovation,Freight Orchestration,2016,Emerging,https://shippio.io,Carrier booking platform for shippers and freight forwarders,Series A,,Japan,Shippio
Business Model Innovation,Freight Orchestration,2013,Emerging,https://shippter.com,Reverse auction based freight marketplace,Seed,"40,000",Chile,Shippter
Business Model Innovation,Freight Orchestration,2015,Emerging,https://shipwise.co,Online freight forwarder,Seed,"15,000",Germany,Shipwise
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2014,Emerging,https://shipwright.biz/air-lubrication-systems,Drag reduction by airlube,,,USA,Shipwright
Fuel & Efficiency,New Vessel Design,2017,Emerging,https://shone.com,Provider of autonomous technologies to the maritime industry,Seed,"4,075,000",USA,Shone
Business Model Innovation,Freight Orchestration,2016,Emerging,https://shypple.com,Online freight platform,Seed,"1,972,420",Netherlands,Shypple
Data & AI,Digital twin,2012,Existing,https://sightmachine.com,Developer of a digital twin platform for manufacturing enterprises,Series C,"85,531,940",USA,Sight Machine
Business Model Innovation,Freight Orchestration,2014,Emerging,https://simpliship.com,"Freight marketplace between shippers and FFs, NVOCCs",Funded,,USA,SimpliShip
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2006,Existing,https://simplus.sg,SimPlus | Make smarter decisions,funded,,,SimPlus
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2011,Existing,https://simularity.com,Predictive analytics for anomaly detection,Seed,"150,000",USA,Simularity
Data & AI,Digital twin,2016,Emerging,https://sitesee.io,Cloud based remote asset monitoring solutions provider,Seed,,Australia,SiteSee
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2019,Distant,https://skybaron.eco/,Consumer products made out of CO2,,,,Skybaron
Fuel & Efficiency,Energy Efficiency & Storage,2016,Existing,https://skycoolsystems.com,Radiative cooling systems,Seed,,USA,SkyCool Systems
Data & AI,Fleet Utilization,2017,Existing,https://skylo.tech,Provider of a satellite network solution for IoT connectivity,funded,,,Skylo
"Carbon CS, offsetting & trading",CO2 Upcycling,2017,Emerging,https://skymining.com/,Developer of CO2-to-fuel technology,Funded,,Sweden,Skymining
"Infrastructure, vessel & Asset efficiency",Drones,2016,Emerging,https://skyryse.com,Provides air mobility services,Series A,"38,000,000",USA,SkyRyse
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2014,Emerging,https://skytree.eu,CO2 Extraction technology from air,Seed,"450,000",Netherlands,Skytree
"Infrastructure, vessel & Asset efficiency",Drones,2015,Emerging,https://skyx.com,Develops a VTOL drone and provides inspection services,Series B,"15,171,600",Canada,SkyX
Data & AI,Fleet Utilization,2016,Existing,https://slingshotaerospace.com,Artificial intelligence based data platform for aerospace applications,funded,,,Slingshot Aerospace
Data & AI,Fleet Utilization,2016,Existing,https://smarthop.co,Online platform connecting loads with trucks,Seed,,USA,Smarthop
Data & AI,5G Connectivity,2011,Existing,https://smartskynetworks.com,Provider of LTE-based in-flight connectivity solutions,Series B,"260,318,825",USA,SmartSky Networks
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Existing,https://sol-around.com,Manufactures bifacial PERT solar cells,Seed,,Israel,Sol-Around
Fuel & Efficiency,Energy Efficiency & Storage,2013,Existing,https://solabcool.com,Thermal based energy storage system developer,Seed,,Netherlands,SolabCool
"Carbon CS, offsetting & trading",CO2 Upcycling,2016,Existing,https://soletairpower.fi/,Turn buildings CO2 and H2O in fuel,funded,,,Soletair Power
"Carbon CS, offsetting & trading",CO2 Upcycling,2009,Existing,https://solidcarbonproducts.com,Waste carbon dioxide to carbon nanotubes & nanofiber production technology provider,Funded,,USA,Solid Carbon Products
"Carbon CS, offsetting & trading",CO2 Upcycling,2008,Existing,https://solidiatech.com/,"Solidia technologies sequesters CO2 by injecting it into concrete during the manufacturing process, transforming CO2 into a usable element as it helps in curing concrete and produces a more durable and flexible product",Series C,"27,000,000",USA,Solidiatech
Business Model Innovation,Freight Orchestration,2017,Emerging,https://getsote.com,AI-enabled collaborative marketplace for logistics services,Funded,,USA,Sote
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Emerging,https://soundenergy.info,Heating and cooling buildings with thermo acoustic energy conversion technology,Seed,"1,200,000",Netherlands,SoundEnergy
CO2 Transparency,CO2 Tracking,2019,Emerging,https://spacept.com,Provides infrastructure security solutions using satellite images,Seed,,Sweden,Spacept
Data & AI,Fleet Utilization,2012,Existing,https://spire.com,Satellite-powered data company,funded,,,Spire
Fuel & Efficiency,Energy Efficiency & Storage,2016,Emerging,https://stash.energy,Thermal energy storage technology developer,Seed,"1,003,633",Canada,Stash Energy
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2016,Emerging,https://stratodynamics.ca,Manufacturer of lightweight wind turbines and monitoring systems,Seed,"30,000",Canada,Stratodynamics
"Carbon CS, offsetting & trading",CO2 Upcycling,2013,Emerging,https://stringbio.com,Synthetic biotechnology solutions for waste carbon recycling,Seed,"2,303,800",India,String Bio
Data & AI,Digital twin,2016,Existing,https://structionsite.com,Software to manage construction site documentation,Seed,"1,500,000",USA,StructionSite
Business Model Innovation,Freight Orchestration,2014,Emerging,https://sudu.io,Online marketplace for transportation of freight,Seed,"1,000,000",USA,Sudu
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://sulasindustries.com,Develops sun trackers which are powered by the sun,Seed,"176,333",USA,Sulas Industries
"Carbon CS, offsetting & trading",CO2 Upcycling,2010,Existing,https://sunfire.de/en/,"Diverse solutions, which includes a Air Carbon Dioxide to fuel offering",funded,,,Sunfire
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://sunna-design.com,Manufacturer of smart solar street lights,Series B,"17,683,700",France,Sunna Design
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2013,Existing,https://suntechdrive.com,Manufacturer of solar products,Series A,,USA,SunTechDrive
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2012,Existing,https://supercritical.tech,Compact power plants using supercritical carbon dioxide,Seed,"550,000",USA,SuperCritical Technologies
Data & AI,Fleet Utilization,2016,Existing,https://supplypike.com,Software solutions for logistics and supply chain management,Funded,,USA,SupplyPike
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2012,Existing,https://sustainablemarine.com,Tidal energy turbine manufacturer,Series A,"11,332,400",England,Sustainable Marine Energy
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2007,Existing,https://svanteinc.com/,Provider of carbon capture solutions from the air,Funded,,Canada,Svante - Ivantys
Data & AI,Vessel Flow Efficiency,2016,Existing,https://swarm.space,Satellite company providing global connectivity solution,funded,,,Swarm Technologies
Data & AI,Digital twin,2015,Distant,https://swim.ai,Analytics platform for processing sensor data in real time,Series B,"18,000,000",USA,Swim
Data & AI,Digital twin,2016,Existing,https://switchon.io,Load disaggregation software for utility customers,Seed,"1,015,318",India,Switchon
CO2 Transparency,Blockchain For CO2 Provenance,2017,Existing,https://swytch.io,Blockchain-based platform to track Energy,Series A,,USA,Swytch
Fuel & Efficiency,Fuel Additives,2000,Existing,https://sylvatex.com,Biomass based drop in fuel which can reduce emissions,Series A,,USA,Sylvatex
Fuel & Efficiency,New Fuel Types,2010,Existing,https://symbio.one,Developer of hydrogen fuel cell kits for electric vehicles,Series B,,France,Symbio
"Carbon CS, offsetting & trading",CO2 Upcycling,2016,Existing,https://synhelion.com/,Solar tower systems with proprietary high-temperature thermochemical processes for the production of solar fuels,,,,Synhelion
Data & AI,Fleet Utilization,2015,Existing,https://syntony-gnss.com,GNSS based location and navigation platform,funded,,,Syntony GNSS
Data & AI,Digital twin,2016,Distant,https://tada.today,Digital twin platform for business solutions,Series A,"3,450,000",USA,TADA
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2010,Existing,https://tamarackaero.com,Provider of aerodynamic and structural components,Series A,"28,796,763",USA,Tamarack Aerospace Group
"Carbon CS, offsetting & trading",Carbon Capture & Storage,2013,Emerging,https://tandemtechnical.com,Carbon capturing and recycling solution provider for industries,Funded,,Canada,Tandem Technical
Fuel & Efficiency,New Vessel Design,2012,Existing,https://tegma.no,Developer of thermoelectric generators,Funded,,Norway,TEGma
Data & AI,Digital twin,2017,Existing,https://teoform.com,Provider of digital twin platform to visualise BIM models,Seed,"1,394,840",China,Teoform
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2004,Existing,https://terrapass.com,Carbon offset and renewable energy certificates provider,Series A,,USA,Terrapass
Fuel & Efficiency,New Fuel Types,2013,Existing,https://terrestrialenergy.com,Developer of molten salt reactors,Series B,"35,890,490",Canada,Terrestrial Energy
Data & AI,Fleet Utilization,2015,Existing,https://teyuntong.com,Online freight transport marketplace,Funded,,China,Teyuntong
Data & AI,Fleet Utilization,2015,Existing,https://tgmatrix.com,Cloud-based algorithmic freight matching software,Series A,"5,155,542",England,TGMatrix
Fuel & Efficiency,Energy Efficiency & Storage,2012,Existing,https://tdho.eu,Fuel efficient and CO2 reduction technology for diesel engines,Funded,,Netherlands,The Dutch Hydroxide Organization
CO2 Transparency,Blockchain For CO2 Provenance,2014,Emerging,https://thesunexchange.com,Decentralized crowdsourcing based solar project investment platform,Seed,"3,207,564",South Africa,The Sun Exchange
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2013,Existing,https://seadrive.us,Dveloper of marine propulsion systems,Seed,"50,000",USA,The Vortex Seadrive
Fuel & Efficiency,Energy Efficiency & Storage,2014,Existing,https://thermasphera.com,Hydro-Pneumatic energy storage system developer,Seed,,Israel,ThermaSphera
"Infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,2017,Distant,https://throughput.world,Platform to identify bottlenecks using AI,Funded,,USA,Throughput
Data & AI,Digital twin,2017,Distant,https://tignis.com,Machine learning solutions,Series A,"7,405,922",USA,Tignis
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://inertechsystems.com,Heat removal technology systems,Seed,,USA,tInertech Systems
"Infrastructure, vessel & Asset efficiency",Drones,2014,Emerging,https://tflighttech.com,Application-specific & cost effective commercial solutions of UAVs,Seed,"1,750,000",England,Top Flight Technologies
Business Model Innovation,Switching Transport Mode,2011,Existing,https://torqenergy.com,Provider of transportation and logistics services,Funded,"236,000,000",Canada,Torq Energy
Business Model Innovation,Freight Orchestration,2015,Emerging,https://tradlinx.com,Online comparison and marketplace platform for maritime logistics,Funded,,South Korea,Tradlinx
Fuel & Efficiency,New Fuel Types,2010,Existing,https://transatomicpower.com,A nuclear reactor design company,Series A,"9,231,294",USA,Transatomic
Data & AI,Fleet Utilization,2012,Existing,https://transfix.io,On demand load matching and booking platform,Series C,"79,000,000",USA,Transfix
Data & AI,Blockchain For CO2 Provenance,2017,Distant,https://transo.in,"Provider of a cloud, blockchain and IoT-based platform connecting shippers and carriers",Seed,,India,TRANSO
Business Model Innovation,Freight Orchestration,2012,Existing,https://transporteca.com,Sea freight booking portal for LCL shipping,Funded,,China,Transporteca
Data & AI,Fleet Utilization,2015,Existing,https://transporter.city,Yet-to-launch closed marketplace for intra-city freight transport,Seed,"145,439",India,Transporter
Data & AI,Fleet Utilization,2018,Existing,https://trelar.com,Online marketplace for for booking freight services,Seed,"2,100,000",USA,Trelar
Data & AI,Fleet Utilization,2018,Existing,https://trella.app,Online marketplace for freight transportation services,Seed,"750,000",Egypt,Trella
Data & AI,Fleet Utilization,2018,Existing,https://truckrtech.com,Online marketplace for freight transportation services,Seed,"100,000",Ghana,Truckr Technologies
Data & AI,5G Connectivity,2011,Existing,https://truepathwireless.com,Provider of base stations for wireless connectivity,Funded,,USA,TruePath Wireless
Data & AI,Fleet Utilization,2016,Existing,https://trukker.ae,Online aggregator of trucking services,Series A,"27,100,000",United Arab Emirates,TruKKer
Data & AI,Fleet Utilization,2017,Existing,https://trukkin.com,Online market platform for booking trucking services,Series A,"3,500,000",United Arab Emirates,Trukkin
Data & AI,Fleet Utilization,2015,Existing,https://trukky.com,Online marketplace for intercity freight transportation,Seed,"512,916",India,Trukky
Data & AI,Fleet Utilization,2014,Existing,https://truxnow.com,Integrated marketplace & management platform for dump trucks catering to construction logistics,Funded,"20,000,000",USA,TRUX
Data & AI,Fleet Utilization,2015,Existing,https://truxapp.com,Mobile app connecting shippers to logistics service providers,Series A,"6,002,526",India,Truxapp
Fuel & Efficiency,Energy Efficiency & Storage,2017,Existing,https://turbotech-aero.com,Developer of energy storage system for aircraft,Series A,,France,TURBOTECH
Data & AI,Demand & Supply Prediction,2014,Existing,https://turvo.com,Online platform for managing shipping and logistics operations,Series B,"100,000,000",USA,Turvo
Data & AI,Digital twin,2018,Emerging,https://twaice.com,Digital twin based battery data analytics and management platform,Seed,"3,638,870",Germany,TWAICE
Data & AI,Fleet Utilization,2013,Existing,https://ubixlabs.com,Data acquisition and predictive modelling solutions,funded,,,Ubix Labs
Fuel & Efficiency,New Fuel Types,2014,Emerging,https://ulemco.com,Manufacturer of commercial vehicles intended to offer ultra-low emission hydrogen-fueled vehicles,Funded,,England,ULEMCo
Fuel & Efficiency,Energy Efficiency & Storage,2011,Existing,https://uni-heat.com,Thermal energy storage solution provider,Series A,,Poland,Uniheat
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2015,Emerging,https://unitary.io,Analytics platform for industries for equipment performance management,Seed,"61,599",India,Unitary
Data & AI,Digital twin,2015,Distant,https://upchain.com,3D CAD viewer and data integration platform for manufacturing industry,Series A,"5,855,110",Canada,Upchain
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2011,Existing,https://upriseenergy.com,Developers of offshore portable wind turbines,Seed,"750,000",USA,Uprise Energy
Data & AI,Digital twin,2013,Distant,https://urbanbase.com,3-D virtual staging of buildings,Series A,"2,800,000",South Korea,Urbanbase
CO2 Transparency,CO2 Tracking,2014,Existing,https://ursaspace.com,Geospatial maps and insights provider,Series B,"31,430,000",USA,Ursa Space Systems
Data & AI,Fleet Utilization,2004,Emerging,https://uship.com,Global online logistics transport marketplace,Series D,"51,810,000",USA,uShip
Fuel & Efficiency,New Fuel Types,2011,Existing,https://usnc.com,Developer of nuclear power plants,Series A,"17,398,650",USA,USNC
Business Model Innovation,Freight Orchestration,2016,Emerging,https://valueshipr.com,Multi-modal on-demand marketplace for logistics,Seed,"797,497",India,ValueShipr
Business Model Innovation,Freight Orchestration,2015,Emerging,https://vamaship.com,Logistics platform connecting suppliers with customers,Seed,,India,Vamaship
Data & AI,Digital twin,2014,Distant,https://veerum.com,Cloud-based digital twin platform for predictive maintenance during construction,Seed,"3,900,000",Canada,VEERUM
Business Model Innovation,Freight Orchestration,2015,Emerging,https://venditz.com,Software solutions provider for the logistics industry,Seed,"525,990",South Korea,Venditz
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2016,Emerging,https://veridium.io,Tokenized marketplace for carbon markets,Funded,,China,Veridium
Fuel & Efficiency,Energy Efficiency & Storage,2015,Emerging,https://vertrotors.com,Manufacturer of low-vibration Conical Rotary Compressors,Seed,"1,700,000",England,VERT Rotors
CO2 Transparency,CO2 Tracking,2018,Emerging,https://vlux.io,Cryptocurrency designed for P2P Energy trading platform,Seed,"344,430",England,Verv
Business Model Innovation,Freight Orchestration,2016,Emerging,https://vesselbot.com,Marketplace for charterers and vessel owners,Funded,,Greece,Vesselbot
Data & AI,Fleet Utilization,2015,Existing,https://vesselman.com,Cloud based dry docking management system,Funded,,Norway,Vesselman
CO2 Transparency,CO2 Tracking,2016,Emerging,https://solvewithvia.com,Application development platform for the Energy industry,Seed,"7,500,000",USA,VIA
Data & AI,Fleet Utilization,2017,Existing,https://viaopt.com,Collaboration and consolidation platform for the trucking industry,Seed,,USA,Viaopt
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2016,Emerging,https://vir2sense.com,Manufactures sensors for emission monitoring for automobile industry,Seed,"30,218",Switzerland,Vir2sense
Fuel & Efficiency,New Vessel Design,2009,Emerging,https://visedo.com,Electric drivetrains for heavy duty vehicles,Acquired,"24,400,000",Finland,Visedo Oy
"Infrastructure, vessel & Asset efficiency",Drones,2015,Emerging,https://flyvoly.com,Developer of VTOL drones for autonomous delivery purposes,Series A,"20,000,000",USA,Volans-i
"Infrastructure, vessel & Asset efficiency",Drones,2011,Existing,https://volocopter.com,Electric copters for urban mobility,Series C,"186,444,570",Germany,Volocopter
CO2 Transparency,Blockchain For CO2 Provenance,2016,Emerging,https://voltmarkets.com,Distribution marketplace for Decentralized RECs,Seed,,USA,Volt Markets
Data & AI,Demand & Supply Prediction,2016,Existing,https://vortexa.com,Provider of artificial intelligence based data processing service,Series A,"10,018,700",England,Vortexa
Data & AI,Fleet Utilization,2018,Existing,https://voyagerportal.com,Workflow management solutions for the maritime shipping industry,funded,,USA,Voyager
Fuel & Efficiency,New Fuel Types,2017,Emerging,https://w7energy.com,Hydrogen based fuel cell technology solutions provider,Seed,"1,000,000",USA,W7energy
"Infrastructure, vessel & Asset efficiency",Crew Incentivisation,2015,Emerging,https://walaplus.com,Employee appreciation software,Seed,"600,000",Saudi Arabia,WalaPlus
Fuel & Efficiency,New Fuel Types,2010,Existing,https://wattfuelcell.com,Develops and manufactures solid oxide fuel cell (SOFC) systems,Series B,"6,000,000",USA,Watt Fuel Cell
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2016,Emerging,https://wavefoil.com,Wavefoil - Retractable bow foils,funded,,,Wavefoil
Business Model Innovation,Switching Transport Mode,2015,Emerging,https://wayfindercorp.com,Proppant supplier for hydraulic fracturing,Funded,"2,460",Canada,Wayfinder
Data & AI,Vessel Flow Efficiency,2016,Emerging,https://we4sea.com,SaaS-based fuel monitoring solutions for marine industry,Seed,"426,688",Netherlands,We4Sea
CO2 Transparency,CO2 Tracking,2014,Existing,https://wenow.com,Provider of connected driving solutions for increased fuel efficiency,Seed,"1,445,050",France,WeNow
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2013,Existing,https://windshiptechnology.com/,sail powered shipping,,,England,Windship technology
Data & AI,Fleet Utilization,2010,Distant,https://wnwd.com,Maritime data analytics platform,Series C,"38,900,000",Israel,Windward
Data & AI,Digital twin,2010,Emerging,https://wrld3d.com,Develops 3D mapping platform,Series B,,England,WRLD
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2012,Existing,https://xstreamtrucking.com,Aerodynamic solution for the trucking industry,Series A,"10,500,000",USA,XStream Trucking
Business Model Innovation,Freight Orchestration,2017,Emerging,https://yoofreight.com,Tech-enabled digital freight forwarder,Funded,,England,YooFreight
Data & AI,Fleet Utilization,2012,Existing,https://yunce56.com,Mobile app based freight transport marketplace,Series A,"10,000,000",China,Yuncewang
Business Model Innovation,Freight Orchestration,2015,Emerging,https://yunlsp.com,B2B international logistics marketplace,Seed,"1,600,000",China,Yunlsp
Data & AI,Vessel Operations Optimization,2013,Emerging,https://ymm56.com,Freight logistics marketplace,Series D,"235,000,000",China,Yunmanman
Business Model Innovation,Freight Orchestration,2014,Existing,https://yunquna.com,Freight forwarders marketplace,Series C,"102,359,110",China,Yunquna
Fuel & Efficiency,New Vessel Design,2010,Existing,https://yunzhou-tech.com,Developer of unmanned ships,Series C,"82,710,816",China,Yunzhou Technology
Business Model Innovation,Freight Orchestration,2017,Emerging,https://zencargo.com,Online freight forwarding platform,Series A,"23,694,100",England,Zencargo
Fuel & Efficiency,New Fuel Types,2018,Emerging,https://zenopowersystems.com,Developer of radioisotope power system to convert heat from recycled nuclear waste into electricity,Seed,,USA,Zeno Power Systems
Business Model Innovation,Freight Orchestration,2015,Emerging,https://zhao-chuan.com,Online marketplace for freight owners and freight shippers,Seed,,China,Zhao-chuan
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2011,Existing,https://jadetrack.com,Sustainability Performance Management,Seed,,United States,JadeTrack
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2016,Existing,https://fishyfilaments.com,Recycling marine plastics into 3D printing filament,Seed,,United Kingdom,Fishy Filaments